candidate_id,candidate_skills,candidate_experience_years,candidate_location,job_id,job_title,job_description,job_required_skills,job_min_experience_years,job_location,job_type,applied_label
CAND_1,"UX Design, Financial Analysis, Copywriting",10,Remote,JOB_125,Data Scientist,"We are looking for a Data Scientist with skills in Statistical Analysis, C#, Cloud Computing.","Statistical Analysis, C#, Cloud Computing",8,San Francisco,Contract,1
CAND_2,"Data Visualization, AI, System Design",3,London,JOB_41,Cloud Engineer,"We are looking for a Cloud Engineer with skills in Social Media, Graphic Design, Adobe XD.","Social Media, Graphic Design, Adobe XD",0,Berlin,Full-time,1
CAND_3,"Data Mining, Deep Learning, Software Design",6,Berlin,JOB_18,Cloud Engineer,"We are looking for a Cloud Engineer with skills in SQL, Big Data, Data Warehousing.","SQL, Big Data, Data Warehousing",4,Berlin,Remote,1
CAND_4,"Data Mining, TensorFlow, Content Strategy",6,New York,JOB_16,Cloud Engineer,"We are looking for a Cloud Engineer with skills in Adobe XD, Excel, UX/UI.","Adobe XD, Excel, UX/UI",7,Berlin,Remote,0
CAND_5,"UX/UI, Spring, C++",9,New York,JOB_485,Cloud Engineer,"We are looking for a Cloud Engineer with skills in SEO, Python, UI/UX.","SEO, Python, UI/UX",1,New York,Full-time,1
CAND_6,"Data Structures, C#, Copywriting",5,Toronto,JOB_266,Business Analyst,"We are looking for a Business Analyst with skills in Network Security, Big Data, Java.","Network Security, Big Data, Java",8,New York,Remote,0
CAND_7,"HTML, Data Warehousing, Java",9,Berlin,JOB_401,Software Engineer,"We are looking for a Software Engineer with skills in .NET, Creativity, Content Strategy.",".NET, Creativity, Content Strategy",5,London,Remote,1
CAND_8,"Social Media, Data Structures, Big Data",4,Toronto,JOB_369,AI Engineer,"We are looking for a AI Engineer with skills in User Research, UI/UX, AI.","User Research, UI/UX, AI",8,Remote,Remote,0
CAND_9,"TensorFlow, Data Science, Deep Learning",5,San Francisco,JOB_146,UX Designer,"We are looking for a UX Designer with skills in System Design, Adobe Creative Suite, SEO.","System Design, Adobe Creative Suite, SEO",4,Toronto,Contract,1
CAND_10,"Cloud Computing, Prototyping, Data Science",0,San Francisco,JOB_473,UX Designer,"We are looking for a UX Designer with skills in UI Design, CRM, Data Visualization.","UI Design, CRM, Data Visualization",1,Toronto,Part-time,0
CAND_11,"Digital Marketing, Machine Learning, Statistics",5,New York,JOB_297,UX Designer,"We are looking for a UX Designer with skills in Adobe XD, C#, Social Media.","Adobe XD, C#, Social Media",2,Remote,Part-time,1
CAND_12,"System Design, Business Analysis, Content Strategy",0,Berlin,JOB_91,Software Engineer,"We are looking for a Software Engineer with skills in Data Structures, Social Media, DevOps.","Data Structures, Social Media, DevOps",8,New York,Contract,0
CAND_13,"Adobe XD, CSS, R",7,London,JOB_114,Project Manager,"We are looking for a Project Manager with skills in React, Risk Analysis, Econometrics.","React, Risk Analysis, Econometrics",0,San Francisco,Remote,1
CAND_14,"Data Science, Statistics, SQL",9,Berlin,JOB_48,Web Developer,"We are looking for a Web Developer with skills in Data Science, Content Creation, UX Research.","Data Science, Content Creation, UX Research",8,London,Contract,1
CAND_15,"Cybersecurity, Linux, C++",0,New York,JOB_60,UX Designer,"We are looking for a UX Designer with skills in Big Data, UI Design, Digital Marketing.","Big Data, UI Design, Digital Marketing",6,Toronto,Full-time,0
CAND_16,"Node.js, Digital Marketing, Financial Analysis",7,London,JOB_459,AI Engineer,"We are looking for a AI Engineer with skills in Statistical Analysis, TensorFlow, Prototyping.","Statistical Analysis, TensorFlow, Prototyping",7,London,Contract,1
CAND_17,"Interaction Design, UX Research, Econometrics",5,Remote,JOB_452,Software Engineer,"We are looking for a Software Engineer with skills in UX, User Research, ETL.","UX, User Research, ETL",1,Remote,Full-time,1
CAND_18,"Project Management, Cybersecurity, .NET",3,Toronto,JOB_155,Data Scientist,"We are looking for a Data Scientist with skills in NLP, Big Data, Java.","NLP, Big Data, Java",7,San Francisco,Full-time,0
CAND_19,"Creativity, Data Science, IoT",8,Remote,JOB_255,Web Developer,"We are looking for a Web Developer with skills in Embedded Systems, Illustration, Algorithms.","Embedded Systems, Illustration, Algorithms",6,Toronto,Full-time,1
CAND_20,"Python, Prototyping, Business Analysis",2,New York,JOB_348,Cloud Engineer,"We are looking for a Cloud Engineer with skills in Cybersecurity, Statistical Analysis, User Research.","Cybersecurity, Statistical Analysis, User Research",4,London,Remote,0
CAND_21,"Cybersecurity, Android, Risk Analysis",1,Remote,JOB_430,UX Designer,"We are looking for a UX Designer with skills in UX/UI, Data Visualization, Project Management.","UX/UI, Data Visualization, Project Management",0,New York,Full-time,1
CAND_22,"Communication, Data Visualization, Creativity",4,San Francisco,JOB_367,Data Scientist,"We are looking for a Data Scientist with skills in HTML, AI, Interaction Design.","HTML, AI, Interaction Design",6,San Francisco,Full-time,0
CAND_23,"Data Mining, Negotiation, .NET",3,Remote,JOB_246,Software Engineer,"We are looking for a Software Engineer with skills in Research, Automation, C#.","Research, Automation, C#",2,Remote,Part-time,1
CAND_24,"Social Media, UX, Microservices",2,New York,JOB_293,Project Manager,"We are looking for a Project Manager with skills in Digital Marketing, Python, SEO.","Digital Marketing, Python, SEO",2,Toronto,Part-time,1
CAND_25,"Analytics, TensorFlow, NLP",1,San Francisco,JOB_300,AI Engineer,"We are looking for a AI Engineer with skills in Statistical Analysis, Excel, Microservices.","Statistical Analysis, Excel, Microservices",8,New York,Full-time,0
CAND_26,"Big Data, Data Mining, Analytics",9,New York,JOB_358,Cloud Engineer,"We are looking for a Cloud Engineer with skills in Content Writing, Digital Marketing, Content Creation.","Content Writing, Digital Marketing, Content Creation",7,San Francisco,Full-time,1
CAND_27,"Cybersecurity, IoT, Big Data",3,Remote,JOB_193,Web Developer,"We are looking for a Web Developer with skills in Marketing Strategy, Analytics, JavaScript.","Marketing Strategy, Analytics, JavaScript",7,Remote,Remote,0
CAND_28,"Algorithms, ETL, .NET",0,London,JOB_14,Data Scientist,"We are looking for a Data Scientist with skills in Storytelling, React, Statistics.","Storytelling, React, Statistics",3,London,Remote,0
CAND_29,"Agile, C#, HTML",9,Berlin,JOB_74,Web Developer,"We are looking for a Web Developer with skills in C#, Risk Analysis, UX Research.","C#, Risk Analysis, UX Research",2,London,Part-time,1
